^k2115 star_table 21 15 2 0
a2215 star_sofa 22 15 2 4
b2315 star_sofa2 23 15 2 4
z2415 palm 24 15 2 0
b2116 star_sofa2 21 16 2 2
Q3216 dj1 32 16 2 0
W3316 dj2 33 16 2 0
E3416 dj3 34 16 2 0
a2117 star_sofa 21 17 2 2
m2817 star_microphone 28 17 4 0
b2118 star_sofa2 21 18 2 2
a3518 star_sofa 35 18 2 6
a2119 star_sofa 21 19 2 2
b3519 star_sofa2 35 19 2 6
b2120 star_sofa2 21 20 2 2 
b2420 star_sofa2 24 20 2 2
a3220 star_sofa 32 20 2 6
a3520 star_sofa 35 20 2 6
a2121 star_sofa 21 21 2 2
a2421 star_sofa 24 21 2 2
b3221 star_sofa2 32 21 2 6
b3521 star_sofa2 35 21 2 6
c2122 star_sofachair 21 22 2 2
k2422 star_table 24 22 2 0
b2522 star_sofa2 25 22 2 0 
a2622 star_sofa 26 22 2 0
b3022 star_sofa2 30 22 2 0
a3122 star_sofa 31 22 2 0
k3222 star_table 32 22 2 0
k3522 star_table 35 22 2 0
z2123 palm 21 23 2 0
a3523 star_sofa 35 23 2 6
p2224 bar10 22 24 2 0
b3524 star_sofa2 35 24 2 6
a3724 star_sofa 37 24 1 4
b3824 star_sofa2 38 24 1 4
a3924 star_sofa 39 24 1 4
b4024 star_sofa2 40 24 1 4
o2225 bar9 22 25 2 0
b2525 star_sofa2 25 25 2 0
a2625 star_sofa 26 25 2 0
b3025 star_sofa2 30 25 2 0
a3125 star_sofa 31 25 2 0
a3525 star_sofa 35 25 2 6
b3625 star_sofa2 36 25 1 2
i2226 bar8 22 26 2 0
X2526 palm1 25 26 2 0
V2626 palm3 26 26 2 0
C3026 palm2 30 26 2 0
B3126 palm4 31 26 2 0
b3526 star_sofa2 35 26 2 6
a3626 star_sofa 36 26 1 2
k3926 star_table 39 26 1 0
k4026 star_table 40 26 1 0
u2227 bar7 22 27 2 0
a2527 star_sofa 25 27 2 4
b2627 star_sofa2 26 27 2 4
a3027 star_sofa 30 27 2 4
b3127 star_sofa2 31 27 2 4
k3527 star_table 35 27 2 0
z3627 palm 36 27 1 0
k3727 star_table 37 27 1 0
y2228 bar6 22 28 2 0
t2229 bar5 22 29 2 0
k2529 star_table 25 29 2 0
k2629 star_table 26 29 2 0
k1630 star_table 16 30 3 0
r2230 bar4 22 30 2 0
b1631 star_sofa2 16 31 3 2
e2231 bar3 22 31 2 0
b2531 star_sofa2 25 31 2 0
a2631 star_sofa 26 31 2 0
a3031 star_sofa 30 31 2 6
a1632 star_sofa 16 32 3 2
w2232 bar2 22 32 2 0
B2532 palm4 25 32 2 0
X2632 palm1 26 32 2 0
b3032 star_sofa2 30 32 2 6
b1633 star_sofa2 16 33 3 2
q2233 bar1 22 33 2 0
a2533 star_sofa 25 33 2 4
b2633 star_sofa2 26 33 2 4
a3033 star_sofa 30 33 2 6
a1634 star_sofa 16 34 3 2
b3034 star_sofa2 30 34 2 6
V3534 palm3 35 34 0 0
C3634 palm2 36 34 0 0
k1635 star_table 16 35 3 0
a3035 star_sofa 30 35 2 6
b3036 star_sofa2 30 36 2 6
c2537 star_sofachair 25 37 2 0
b2637 star_sofa2 26 37 2 0
a2737 star_sofa 27 37 2 0
b2837 star_sofa2 28 37 2 0
a2937 star_sofa 29 37 2 0
k3037 star_table 30 37 2 0
