j233 sw_tree4 23 3 0 1
n283 sw_fence 28 3 100000 2
n284 sw_fence 28 4 100000 2
n285 sw_fence 28 5 0 2
n286 sw_fence 28 6 0 2
n287 sw_fence 28 7 0 2
h297 sw_tree2 29 7 0 1
i198 sw_tree3 19 8 0 1
n288 sw_fence 28 8 0 2
n289 sw_fence 28 9 0 2
n2810 sw_fence 28 10 0 2
g2910 sw_tree1 29 10 0 1
n2811 sw_fence 28 11 0 2
n2812 sw_fence 28 12 0 2
n2813 sw_fence 28 13 0 2
n2814 sw_fence 28 14 0 2
n2815 sw_fence 28 15 0 2
n2816 sw_fence 28 16 0 2
n2817 sw_fence 28 17 0 2
g4018 sw_tree1 40 18 0 1
j319 sw_tree4 3 19 0 1
n719 sw_fence 7 19 0 4
n819 sw_fence 8 19 0 4
n919 sw_fence 9 19 0 4
n1019 sw_fence 10 19 0 4
n1119 sw_fence 11 19 0 4
n1219 sw_fence 12 19 0 4
n1319 sw_fence 13 19 0 4
n1419 sw_fence 14 19 0 4
n1519 sw_fence 15 19 0 4
n1619 sw_fence 16 19 0 4
n1719 sw_fence 17 19 0 4
w020 sw_backround3 0 20 0 0
h620 sw_tree2 6 20 0 1
h2424 sw_tree2 24 24 0 1
i926 sw_tree3 9 26 0 1
i3926 sw_tree3 39 26 0 1
j4627 sw_tree4 46 27 0 1
g2329 sw_tree1 23 29 0 1
a3329 block_basic 33 29 0 1
a3330 block_basic 33 30 0 1
a3331 block_basic 33 31 0 1
a2832 block_basic 28 32 0 1
a2932 block_basic 29 32 0 1
a3032 block_basic 30 32 0 1
h1837 sw_tree2 18 37 0 1
i4238 sw_tree3 42 38 0 1
j3249 sw_tree4 32 49 100000 1
