h221 sw_tree2 22 1 0 1
h204 sw_tree2 20 4 0 1
g244 sw_tree1 24 4 0 1
g275 sw_tree1 27 5 0 1
i246 sw_tree3 24 6 0 1
j278 sw_tree4 27 8 0 1
j209 sw_tree4 20 9 0 1
h319 sw_tree2 31 9 0 1
h1610 sw_tree2 16 10 0 1
i1013 sw_tree3 10 13 0 1
i2713 sw_tree3 27 13 0 1
g1815 sw_tree1 18 15 0 1
i3916 sw_tree3 39 16 0 1
g1017 sw_tree1 10 17 0 1
h2517 sw_tree2 25 17 0 1
h418 sw_tree2 4 18 0 1
j718 sw_tree4 7 18 0 1
j1519 sw_tree4 15 19 0 1
j3520 sw_tree4 35 20 0 1
j121 sw_tree4 1 21 0 1
i1121 sw_tree3 11 21 0 1
g522 sw_tree1 5 22 0 1
h722 sw_tree2 7 22 0 1
g2223 sw_tree1 22 23 0 1
h4323 sw_tree2 43 23 0 1
h425 sw_tree2 4 25 0 1
g4725 sw_tree1 47 25 0 1
i727 sw_tree3 7 27 0 1
i2030 sw_tree3 20 30 0 1
j3931 sw_tree4 39 31 0 1
g1133 sw_tree1 11 33 0 1
i4734 sw_tree3 47 34 100000 1
j1636 sw_tree4 16 36 0 1
h2937 sw_tree2 29 37 0 1
i2239 sw_tree3 22 39 0 1
i3843 sw_tree3 38 43 100000 1
g2445 sw_tree1 24 45 0 1
j3248 sw_tree4 32 48 0 1
h2749 sw_tree2 27 49 0 1
