3127 hw_chair 13 4 1 4 
3128 hw_chair 23 10 1 2 
3129 hw_chair 23 6 1 2 
3130 hw_chair 23 7 1 2 
3131 hw_chair 23 8 1 2 
3132 hw_chair 23 9 1 2 
3133 hw_chair 25 10 1 6 
3134 hw_chair 25 6 1 6 
3135 hw_chair 25 7 1 6 
3136 hw_chair 25 8 1 6 
3137 hw_chair 25 9 1 6 
3138 hw_ero1 15 20 1 0 
3139 hw_ero1 22 12 1 0 
3140 hw_ero2 23 12 1 0 
3141 hw_ero3 24 12 1 0 
3142 hw_ero4 25 12 1 0 
3143 hw_ero5 16 20 1 0 
3144 hw_ero5 26 12 1 0 
3145 hw_plant 12 4 1 0 
3146 hw_plant 17 25 1 0 
3147 hw_plant 19 4 1 0 
3148 hw_plant 25 17 1 0 
3149 hw_plant 4 12 0 0 
3150 hw_plant 4 19 0 0 
3151 hw_smtble 12 7 1 0 
3152 hw_smtble 14 22 1 0 
3153 hw_smtble 21 15 1 0 
3154 hw_smtble 7 12 0 0 
3155 hw_sofa1 12 5 1 2 
3156 hw_sofa1 12 8 1 2 
3157 hw_sofa1 14 23 1 2 
3158 hw_sofa1 15 22 1 4 
3159 hw_sofa1 21 16 1 2 
3160 hw_sofa1 23 14 1 4 
3161 hw_sofa1 5 12 0 4 
3162 hw_sofa1 8 12 0 4 
3163 hw_sofa2 14 24 1 2 
3164 hw_sofa2 16 22 1 4 
3165 hw_sofa2 24 14 1 4 
3166 hw_sofa3 12 6 1 2 
3167 hw_sofa3 12 9 1 2 
3168 hw_sofa3 14 25 1 2 
3169 hw_sofa3 17 22 1 4 
3170 hw_sofa3 21 17 1 2 
3171 hw_sofa3 25 14 1 4 
3172 hw_sofa3 6 12 0 4 
3173 hw_sofa3 9 12 0 4 
3174 hw_table1 24 6 1 6 
3175 hw_table2 24 7 1 6 
3176 hw_table2 24 8 1 6 
3177 hw_table2 24 9 1 6 
3178 hw_table3 24 10 1 6 
3179 hw_watermatic 18 4 1 4 
3180 pillar1 12 20 1 0 
