1840 jap_chair 3 24 0 4
1841 jap_chair 3 26 0 0
1842 jap_chair 3 29 0 4
1843 jap_chair 4 20 0 2
1844 jap_chair 4 21 0 2
1845 jap_chair 4 24 0 4
1846 jap_chair 4 26 0 0
1847 jap_chair 4 29 0 4
1848 jap_chair 5 24 0 4
1849 jap_chair 5 26 0 0
1850 jap_chair 5 30 0 6
1851 jap_chair 6 20 0 6
1852 jap_chair 6 21 0 6
1853 jap_stool 13 19 0 4
1854 jap_stool 16 24 0 6
1855 jap_stool 16 25 0 6
1856 jap_stool 16 26 0 6
1857 jap_table 3 25 0 0
1858 jap_table 3 30 0 0
1859 jap_table 5 20 0 2
1860 jap_table2 4 25 0 0
1861 jap_table3 4 30 0 0
1862 jap_table3 5 21 0 2
1863 jap_table3 5 25 0 0
1864 stone 11 3 0 4
1865 stone 13 10 0 2
1866 stone 13 7 0 4
1867 stone 13 8 0 2
1868 stone 14 13 0 2
1869 stone 15 14 0 0
1870 stone 17 15 0 0
1871 stone 8 8 0 2
1872 stone 9 7 0 4
